date,open,high,low,close,volume
2023-05-28,113.93,116.87,113.78,116.46,9431.76512893
2023-05-29,116.49,117.3,114.73,114.92,12918.46058997
2023-05-30,114.95,115.77,113.96,113.97,10618.70876341
2023-05-31,113.97,114.41,112.12,113.32,17598.98502905
2023-06-01,113.35,113.6,111.6,113.39,11499.0922406
2023-06-02,113.35,115.4,112.78,114.85,10637.17669119
2023-06-03,114.86,115.29,114.24,115,6343.9029575
2023-06-04,114.99,116.95,114.2,115.67,10896.47679662
2023-06-05,115.66,115.68,106.99,108.77,27003.44077955
2023-06-06,108.76,114.91,107.47,114.85,19930.70555529
2023-06-07,114.87,116.83,110.02,111.2,16585.27502811
2023-06-08,111.2,112.46,110.25,111.83,9827.73182906
2023-06-09,111.82,112.04,109.58,110.82,13325.88373282
2023-06-10,110.84,111.01,90.77,103.65,98374.67745706
2023-06-11,103.68,103.8,101.7,102.85,16441.48342026
2023-06-12,102.84,104.37,100.48,102.81,16481.61813072
2023-06-13,102.81,106.81,102.2,105.37,17595.88740517
2023-06-14,105.36,106.32,100.54,101.77,22971.71372771
2023-06-15,101.76,105,101.68,104.76,19933.6225751
2023-06-16,104.69,109.31,102.53,108.04,17420.0819117
2023-06-17,108.04,108.53,106.09,106.67,11770.32326765
2023-06-18,106.63,108.76,105.51,106.96,15978.58453446
2023-06-19,106.98,107.32,104.72,106.84,12629.71824753
2023-06-20,106.84,110.61,105.13,110.06,23315.06516663
2023-06-21,110.08,140.3,109.73,135.67,167233.93876305
2023-06-22,135.72,149.56,128.93,133.47,101389.78183757
2023-06-23,133.46,194.55,133.46,182.26,322717.82433089
2023-06-24,182.31,221.53,179.19,212.43,278253.03146887
2023-06-25,212.63,221.17,185.98,194.12,265378.4339124
2023-06-26,194.39,234.02,187.35,223.86,259961.90936138
2023-06-27,223.85,239,216.26,230.11,186980.98788747
2023-06-28,230.08,243.73,220,225.12,147720.00204795
2023-06-29,225.03,254.5,223.73,253.23,162048.38077755
2023-06-30,253.46,329.71,252.08,304.34,452387.27146232
2023-07-01,304.35,310.21,280,291.31,152290.07453233
2023-07-02,291.53,308.71,268.25,299.12,170107.71035886
2023-07-03,299.12,302.61,280,291.95,123412.32735584
